"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   9314 ,  398 ,   4- 4 ,     398 ,       0,
   Nov18 ,   9391 ,  282 ,   3- 3 ,     282 ,       0,
   Dec18 ,   9515 ,  355 ,   3- 4 ,      75 ,     280,
   Jan19 ,   9557 ,  260 ,   3- 3 ,      15 ,     245,
   Feb19 ,   9473 ,  268 ,   3- 3 ,      15 ,     253,
   Mar19 ,   9292 ,  280 ,   3- 3 ,      25 ,     255,
   Apr19 ,   9365 ,  260 ,   3- 3 ,      31 ,     229,
   May19 ,   9446 ,  294 ,   3- 3 ,      25 ,     269,
   Jun19 ,   9320 ,  316 ,   3- 4 ,      27 ,     289,
   Jul19 ,   9358 ,  391 ,   4- 4 ,      10 ,     381,
   Aug19 ,   9315 ,  466 ,   5- 5 ,      32 ,     434,
   Sep19 ,   9270 ,  497 ,   5- 6 ,      38 ,     459,
   Oct19 ,   9350 ,  545 ,   6- 6 ,      82 ,     463,
   Nov19 ,   9435 ,  403 ,   4- 4 ,      29 ,     374,
   Dec19 ,   9503 ,  375 ,   4- 4 ,      21 ,     354,
   Jan20 ,   9630 ,  308 ,   3- 3 ,      26 ,     282,
   Feb20 ,   9503 ,  260 ,   3- 3 ,      16 ,     244,
   Mar20 ,   9473 ,  315 ,   3- 3 ,      26 ,     289,
   Apr20 ,   9413 ,  307 ,   3- 3 ,      34 ,     273,
   May20 ,   9454 ,  322 ,   3- 4 ,      27 ,     295,
   Jun20 ,   9531 ,  341 ,   3- 4 ,      31 ,     310,
   Jul20 ,   9665 ,  362 ,   3- 4 ,      43 ,     319,
   Aug20 ,   9582 ,  468 ,   5- 5 ,      32 ,     436,
   Sep20 ,   9567 ,  614 ,   6- 7 ,      54 ,     560,
   Oct20 ,   9531 ,  476 ,   5- 5 ,      37 ,     439,
   Nov20 ,   9650 ,  477 ,   5- 5 ,      34 ,     443,
   Dec20 ,   9940 ,  352 ,   3- 4 ,      19 ,     333,
   Jan21 ,  10027 ,  272 ,   3- 3 ,      21 ,     251,
   Feb21 ,   9793 ,  302 ,   3- 3 ,      81 ,     221,
   Mar21 ,   9700 ,  289 ,   3- 3 ,      51 ,     238,
   Apr21 ,   9536 ,  206 ,   2- 2 ,      24 ,     182,
   May21 ,   9504 ,  229 ,   2- 3 ,      16 ,     213,
   Jun21 ,   9470 ,  311 ,   3- 3 ,      30 ,     281,
   Jul21 ,   9494 ,  629 ,   6- 7 ,     138 ,     491,
   Aug21 ,   9560 , 1063 ,  11-11 ,     331 ,     732,
   Sep21 ,   9628 , 1269 ,  13-13 ,     350 ,     919,
   Oct21 ,   9856 , 1067 ,  10-11 ,     403 ,     664,
   Nov21 ,  10227 ,  912 ,   8- 9 ,     348 ,     564,
   Dec21 ,  10536 , 1028 ,   9-10 ,     323 ,     705,
   Jan22 ,  10861 ,  619 ,   5- 6 ,     317 ,     302,
   Feb22 ,  10959 ,  759 ,   7- 7 ,     295 ,     464,
   Mar22 ,  10780 , 1110 ,  10-10 ,     363 ,     747,
   Apr22 ,  10682 ,  965 ,   9- 9 ,     374 ,     591,
   May22 ,  10814 ,  985 ,   9- 9 ,     344 ,     641,
   Jun22 ,  11028 , 1218 ,  11-11 ,     335 ,     883,
   Jul22 ,  11101 , 1163 ,  10-11 ,     373 ,     790,
   Aug22 ,  10984 , 1104 ,  10-10 ,     437 ,     667,
   Sep22 ,  10916 , 1260 ,  11-12 ,     476 ,     784,
   Oct22 ,  10600 , 1112 ,  10-11 ,     489 ,     623,
   Nov22 ,  10573 , 1043 ,   9-10 ,     428 ,     615,
   Dec22 ,  10583 , 1072 ,  10-10 ,     388 ,     684,
   Jan23 ,  10538 ,  866 ,   8- 8 ,     390 ,     476,
   Feb23 ,  10541 ,  909 ,   8- 9 ,     359 ,     550,
   Mar23 ,  10524 , 1039 ,   9-10 ,     373 ,     666,
   Apr23 ,  10519 ,  754 ,   7- 7 ,     320 ,     434,
   May23 ,  10639 ,  969 ,   9- 9 ,     390 ,     579,
   Jun23 ,  10389 , 1201 ,  11-12 ,     379 ,     822,
   Jul23 ,  10264 , 1139 ,  11-11 ,     426 ,     713,
   Aug23 ,  10179 , 1398 ,  13-14 ,     507 ,     891,
   Sep23 ,  10219 , 1155 ,  11-11 ,     472 ,     683,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   9947 ,39409 ,   7- 7 ,   11835 ,   27574,
 Percent ,        ,      ,        ,    119% ,    ***%,
