"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   2349 ,   60 ,   2- 3 ,      60 ,       0,
   Nov18 ,   2373 ,   34 ,   1- 2 ,      34 ,       0,
   Dec18 ,   2391 ,   64 ,   2- 3 ,      16 ,      48,
   Jan19 ,   2404 ,   41 ,   1- 2 ,       4 ,      37,
   Feb19 ,   2421 ,   43 ,   2- 2 ,       0 ,      43,
   Mar19 ,   2423 ,   45 ,   2- 2 ,       4 ,      41,
   Apr19 ,   2472 ,   42 ,   1- 2 ,       3 ,      39,
   May19 ,   2522 ,   45 ,   2- 2 ,       3 ,      42,
   Jun19 ,   2496 ,   58 ,   2- 3 ,       4 ,      54,
   Jul19 ,   2428 ,   57 ,   2- 3 ,       0 ,      57,
   Aug19 ,   2414 ,   76 ,   3- 3 ,       5 ,      71,
   Sep19 ,   2433 ,   91 ,   3- 4 ,       4 ,      87,
   Oct19 ,   2400 ,  105 ,   4- 5 ,      10 ,      95,
   Nov19 ,   2428 ,   80 ,   3- 4 ,       4 ,      76,
   Dec19 ,   2478 ,   76 ,   3- 3 ,       6 ,      70,
   Jan20 ,   2497 ,   63 ,   2- 3 ,       5 ,      58,
   Feb20 ,   2405 ,   37 ,   1- 2 ,       2 ,      35,
   Mar20 ,   2429 ,   63 ,   2- 3 ,       7 ,      56,
   Apr20 ,   2440 ,   57 ,   2- 3 ,       7 ,      50,
   May20 ,   2443 ,   60 ,   2- 3 ,       5 ,      55,
   Jun20 ,   2471 ,   72 ,   3- 3 ,       6 ,      66,
   Jul20 ,   2540 ,   76 ,   3- 3 ,       7 ,      69,
   Aug20 ,   2517 ,  103 ,   4- 4 ,       8 ,      95,
   Sep20 ,   2494 ,  112 ,   4- 5 ,      12 ,     100,
   Oct20 ,   2471 ,  104 ,   4- 5 ,      11 ,      93,
   Nov20 ,   2493 ,   87 ,   3- 4 ,       7 ,      80,
   Dec20 ,   2610 ,   61 ,   2- 3 ,       2 ,      59,
   Jan21 ,   2658 ,   41 ,   1- 2 ,       2 ,      39,
   Feb21 ,   2597 ,   61 ,   2- 3 ,      32 ,      29,
   Mar21 ,   2554 ,   73 ,   3- 3 ,      16 ,      57,
   Apr21 ,   2458 ,   36 ,   1- 2 ,       8 ,      28,
   May21 ,   2425 ,   40 ,   1- 2 ,       3 ,      37,
   Jun21 ,   2443 ,   64 ,   2- 3 ,       9 ,      55,
   Jul21 ,   2491 ,  150 ,   5- 6 ,      28 ,     122,
   Aug21 ,   2541 ,  280 ,  10-11 ,      65 ,     215,
   Sep21 ,   2559 ,  347 ,  13-14 ,      58 ,     289,
   Oct21 ,   2570 ,  270 ,  10-11 ,      74 ,     196,
   Nov21 ,   2628 ,  212 ,   7- 8 ,      54 ,     158,
   Dec21 ,   2684 ,  279 ,  10-11 ,      66 ,     213,
   Jan22 ,   2757 ,  129 ,   4- 5 ,      58 ,      71,
   Feb22 ,   2780 ,  179 ,   6- 7 ,      57 ,     122,
   Mar22 ,   2725 ,  280 ,  10-11 ,      73 ,     207,
   Apr22 ,   2686 ,  210 ,   7- 8 ,      71 ,     139,
   May22 ,   2730 ,  245 ,   8- 9 ,      81 ,     164,
   Jun22 ,   2773 ,  340 ,  11-13 ,      73 ,     267,
   Jul22 ,   2754 ,  310 ,  10-12 ,      84 ,     226,
   Aug22 ,   2745 ,  291 ,  10-11 ,      91 ,     200,
   Sep22 ,   2773 ,  328 ,  11-12 ,     107 ,     221,
   Oct22 ,   2795 ,  282 ,   9-10 ,      92 ,     190,
   Nov22 ,   2851 ,  244 ,   8- 9 ,      90 ,     154,
   Dec22 ,   2951 ,  288 ,   9-10 ,      85 ,     203,
   Jan23 ,   3023 ,  214 ,   7- 7 ,     102 ,     112,
   Feb23 ,   3143 ,  226 ,   7- 8 ,      78 ,     148,
   Mar23 ,   3223 ,  274 ,   8- 9 ,      91 ,     183,
   Apr23 ,   3253 ,  224 ,   6- 7 ,      89 ,     135,
   May23 ,   3309 ,  243 ,   7- 8 ,      76 ,     167,
   Jun23 ,   3240 ,  329 ,   9-11 ,      84 ,     245,
   Jul23 ,   3160 ,  353 ,  10-12 ,     108 ,     245,
   Aug23 ,   3008 ,  436 ,  14-15 ,     122 ,     314,
   Sep23 ,   2916 ,  331 ,  11-12 ,     100 ,     231,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2640 , 9421 ,   6- 6 ,    2463 ,    6958,
 Percent ,        ,      ,        ,     93% ,    ***%,
