"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
      1172 ,X    ,02/17/11,01/07/19,   6 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  90 ,04/07/19,CAR4            ,                ,,
      2186 ,X    ,02/24/11,07/13/18,   6 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 330 ,06/08/19,CAR4            ,                ,,
      2589 ,X    ,10/21/18,10/30/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 195 ,05/13/21,                ,                ,,
      3195 ,H    ,06/06/16,05/12/18,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 512 ,10/06/19,CAR4            ,                ,,
      3268 ,J    ,03/17/11,02/26/18,   6 ,11/05/18,    1 ,    0 ,F.BL     ,SOLD       , 264 ,11/17/18,CAR4            ,                ,,
      3470 ,J    ,03/20/11,09/29/18,   6 ,10/04/18,    1 ,    3 ,BLOCKLB  ,SOLD       , 350 ,09/14/19,CAR4            ,                ,,
      3738 ,X    ,07/19/14,07/23/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 211 ,02/19/19,CAR4            ,                ,,
      3823 ,X    ,03/26/11,08/15/18,   6 ,00000000 ,    0 ,    2 ,-        ,SOLD       , 130 ,12/23/18,CAR3            ,                ,,
      3865 ,X    ,06/17/16,05/08/18,   1 ,05/28/18,    1 ,    0 ,FLB      ,SOLD       , 553 ,11/12/19,CAR4            ,                ,,
      3905 ,J    ,03/28/11,01/26/19,   6 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  39 ,03/06/19,CAR2            ,                ,,
      3921 ,X    ,06/18/16,08/14/19,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  95 ,11/17/19,CAR1            ,                ,,
      3978 ,X    ,06/19/16,06/04/18,   1 ,11/05/18,    1 ,    0 ,U.BR     ,SOLD       , 157 ,11/08/18,CAR1            ,                ,,
      4324 ,J    ,04/08/11,10/26/17,   5 ,10/29/18,    3 ,    0 ,L8       ,SOLD       , 452 ,01/21/19,CAR4            ,                ,,
      4397 ,X    ,04/10/11,04/08/18,   6 ,00000000 ,    0 ,    2 ,-        ,SOLD       , 237 ,12/01/18,MIA             ,                ,,
      4545 ,X    ,03/22/10,02/13/18,   7 ,06/25/18,    1 ,    0 ,L6       ,SOLD       , 268 ,11/08/18,CAR3            ,                ,,
      4586 ,X    ,10/08/20,09/07/22,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 331 ,08/04/23,ALBADRY         ,ALBADRY         ,,
