"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,     47 ,    4 ,   5-13 ,       4 ,       0,
   Nov18 ,     50 ,    4 ,   5-12 ,       4 ,       0,
   Dec18 ,     52 ,    1 ,   1- 5 ,       1 ,       0,
   Jan19 ,     52 ,    1 ,   1- 5 ,       0 ,       1,
   May19 ,     44 ,    2 ,   2- 8 ,       0 ,       2,
   Aug19 ,     48 ,    1 ,   1- 5 ,       0 ,       1,
   Oct19 ,     54 ,    1 ,   1- 5 ,       0 ,       1,
   Feb20 ,     66 ,    3 ,   3- 8 ,       2 ,       1,
   May20 ,     63 ,    1 ,   1- 4 ,       1 ,       0,
   Jul20 ,     88 ,    1 ,   0- 3 ,       1 ,       0,
   Oct20 ,     95 ,    1 ,   0- 3 ,       0 ,       1,
   Nov20 ,    100 ,    3 ,   2- 5 ,       2 ,       1,
   Jan21 ,     95 ,    1 ,   0- 3 ,       1 ,       0,
   Aug21 ,     72 ,    9 ,   9-17 ,       5 ,       4,
   Sep21 ,     66 ,    7 ,   7-15 ,       3 ,       4,
   Oct21 ,     72 ,    8 ,   8-15 ,       3 ,       5,
   Nov21 ,     79 ,   11 ,  10-18 ,       3 ,       8,
   Dec21 ,     87 ,   11 ,   9-16 ,       3 ,       8,
   Jan22 ,     79 ,    9 ,   8-15 ,       3 ,       6,
   Feb22 ,     79 ,    7 ,   6-12 ,       3 ,       4,
   Mar22 ,     74 ,    8 ,   8-15 ,       3 ,       5,
   Apr22 ,     72 ,    9 ,   9-16 ,       1 ,       8,
   May22 ,     79 ,    6 ,   5-11 ,       3 ,       3,
   Jun22 ,     79 ,   15 ,  15-23 ,       5 ,      10,
   Jul22 ,     72 ,   10 ,  10-18 ,       5 ,       5,
   Aug22 ,     61 ,   13 ,  16-26 ,       6 ,       7,
   Sep22 ,     60 ,    8 ,   9-18 ,       5 ,       3,
   Oct22 ,     54 ,   10 ,  13-24 ,       6 ,       4,
   Nov22 ,     65 ,    7 ,   7-15 ,       3 ,       4,
   Dec22 ,     88 ,    8 ,   6-12 ,       5 ,       3,
   Jan23 ,    108 ,    3 ,   2- 5 ,       1 ,       2,
   Feb23 ,    128 ,   13 ,   8-13 ,       3 ,      10,
   Mar23 ,    136 ,   19 ,  11-17 ,       4 ,      15,
   Apr23 ,    144 ,   18 ,  10-15 ,       5 ,      13,
   May23 ,    150 ,    9 ,   4- 8 ,       3 ,       6,
   Jun23 ,    148 ,   24 ,  13-19 ,       8 ,      16,
   Jul23 ,    155 ,   29 ,  15-22 ,       9 ,      20,
   Aug23 ,    163 ,   25 ,  12-18 ,       8 ,      17,
   Sep23 ,    188 ,   22 ,   9-14 ,       9 ,      13,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,     81 ,  342 ,   7- 7 ,     131 ,     211,
 Percent ,        ,      ,        ,    162% ,    ***%,
