"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
         5 ,11/10/20,00000000 ,08/19/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 598 ,07/01/22,HFR TRIM        ,SPC-DC          ,,
        13 ,04/01/19,06/18/22,06/05/23,   2 ,J    ,    1 ,    0 ,    2 ,LAME       , 329 ,05/13/23,BLKTQQ          ,Toe/Punta,,
        18 ,04/21/18,03/11/20,03/17/21,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    , 314 ,01/19/21,TRM             ,,,
        22 ,04/23/18,05/13/20,08/03/20,   1 ,X    ,    1 ,    0 ,    2 ,LAME       ,  38 ,06/20/20,EXCFLHRH        ,Foot Rot Excd   ,,
        22 ,04/23/18,05/13/20,08/03/20,   1 ,X    ,    2 ,    0 ,    2 ,LAME       ,  72 ,07/24/20,BLKULHRH        ,Ulcer           ,,
        23 ,11/10/20,00000000 ,08/13/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 598 ,07/01/22,HFR TRIM        ,SPC-DC          ,,
        37 ,01/12/21,00000000 ,10/09/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 597 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        39 ,02/28/21,00000000 ,12/24/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 611 ,11/01/22,HFR TRIM        ,SPC-DC          ,,
        44 ,06/12/18,11/03/21,02/21/23,   3 ,J    ,    1 ,    0 ,    2 ,LAME       , 289 ,08/19/22,BLKWLF          ,White Line      ,Pedro Ch,
        44 ,06/12/18,11/03/21,02/21/23,   3 ,J    ,    2 ,    0 ,    2 ,LAME       , 366 ,11/04/22,BLKTLF          ,Toe/Punta,Pedro Ch,
        44 ,06/12/18,11/03/21,02/21/23,   3 ,J    ,    3 ,    0 ,    2 ,LAME       , 381 ,11/19/22,BLKTLF          ,Toe/Punta,Pedro Ch,
        44 ,06/12/18,11/03/21,02/21/23,   3 ,J    ,    3 ,    0 ,    2 ,FOOTRIM    , 399 ,12/07/22,TRM             ,Pedro Ch,,
        47 ,01/09/21,00000000 ,11/20/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 600 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        47 ,01/09/21,11/20/22,00000000 ,   1 ,-    ,    1 ,    0 ,    2 ,LAME       , 105 ,03/05/23,TETDQQ          ,WART            ,Pedro Ch,
        51 ,02/12/21,00000000 ,11/16/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 566 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        55 ,12/30/20,00000000 ,09/11/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 610 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        60 ,12/10/20,00000000 ,09/12/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 586 ,07/19/22,HFR TRIM        ,SPC-DC          ,,
        64 ,03/28/21,00000000 ,12/26/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 604 ,11/22/22,HFR TRIM        ,SPC-DC          ,,
        79 ,11/20/20,00000000 ,09/06/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 606 ,07/19/22,HFR TRIM        ,SPC-DC          ,,
        80 ,02/21/21,00000000 ,12/01/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 590 ,10/04/22,HFR TRIM        ,SPC-DC          ,,
        82 ,11/10/20,00000000 ,08/28/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 598 ,07/01/22,HFR TRIM        ,SPC-DC          ,,
        82 ,11/10/20,08/28/22,00000000 ,   1 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 179 ,02/23/23,TRM             ,Pedro Ch,,
        83 ,01/12/21,00000000 ,10/04/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 597 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        91 ,01/12/21,00000000 ,10/19/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 597 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        92 ,12/20/20,00000000 ,09/23/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 620 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
        96 ,05/14/18,03/26/20,03/15/21,   1 ,J    ,    1 ,    0 ,    2 ,LAME       , 139 ,08/12/20,BLKWRF          ,White Line      ,,
        96 ,05/14/18,03/26/20,03/15/21,   1 ,J    ,    2 ,    0 ,    2 ,LAME       , 279 ,12/30/20,BLKURF          ,Ulcer           ,,
        96 ,05/14/18,03/26/20,03/15/21,   1 ,J    ,    3 ,    0 ,    2 ,LAME       , 292 ,01/12/21,BLKURF          ,Ulcer           ,,
       102 ,12/20/20,00000000 ,11/15/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 620 ,09/01/22,HFR TRIM        ,SPC-DC          ,,
       102 ,12/20/20,11/15/22,00000000 ,   1 ,-    ,    1 ,    0 ,    2 ,LAME       ,  56 ,01/10/23,TETDQQ          ,WART            ,Pedro Ch,
       103 ,05/15/18,03/14/20,03/19/21,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 304 ,01/12/21,TRM             ,,,
       103 ,05/15/18,03/19/21,04/21/22,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 138 ,08/04/21,TRM             ,                ,Hugo Alberto,
       103 ,05/15/18,03/19/21,04/21/22,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 189 ,09/24/21,TRM             ,                ,,
       103 ,05/15/18,03/19/21,04/21/22,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 333 ,02/15/22,TRM             ,                ,Hugo Alberto,
       107 ,05/15/18,03/03/20,03/24/21,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    ,   8 ,03/11/20,TRM             ,,,
       107 ,05/15/18,03/03/20,03/24/21,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    , 322 ,01/19/21,TRM             ,,,
       109 ,11/20/20,00000000 ,09/15/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 606 ,07/19/22,HFR TRIM        ,SPC-DC          ,,
       112 ,05/17/18,03/26/20,03/21/21,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 292 ,01/12/21,TRM             ,,,
       112 ,07/15/20,06/03/22,05/21/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 197 ,12/17/22,TRM             ,Pedro Ch,,
       112 ,07/15/20,05/21/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 124 ,09/22/23,TRM             ,,,
       114 ,03/03/21,00000000 ,12/05/22,   0 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 580 ,10/04/22,HFR TRIM        ,SPC-DC          ,,
