"Dates","Milking","Total","68% CI","LAME",
   Nov18 ,     12 ,    2 ,    -   ,       2,
   Dec18 ,     11 ,    4 ,    -   ,       4,
   Jan19 ,      8 ,    1 ,    -   ,       1,
   Feb19 ,      8 ,    1 ,    -   ,       1,
   Aug19 ,      5 ,    4 ,    -   ,       4,
   Sep19 ,      5 ,    1 ,    -   ,       1,
   Oct19 ,      3 ,    1 ,    -   ,       1,
   Apr23 ,     27 ,    1 ,   1- 9 ,       1,
   May23 ,     24 ,    1 ,   2-10 ,       1,
======== ,======= ,===== ,======= ,========,
   Total ,      5 ,   16 ,   4- 7 ,      16,
