"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,   9110 , 2389 ,  25-26 ,    1994 ,     395,
   Nov18 ,   9062 , 1696 ,  18-19 ,    1399 ,     297,
   Dec18 ,   8895 , 1841 ,  20-21 ,    1532 ,     309,
   Jan19 ,   8748 , 2557 ,  28-29 ,    2205 ,     352,
   Feb19 ,   8932 , 1991 ,  22-22 ,    1616 ,     375,
   Mar19 ,   8888 , 2550 ,  28-29 ,    2127 ,     423,
   Apr19 ,   9027 , 2410 ,  26-27 ,    1931 ,     479,
   May19 ,   9231 , 2490 ,  26-27 ,    1998 ,     492,
   Jun19 ,   9285 , 2116 ,  22-23 ,    1723 ,     393,
   Jul19 ,   9266 , 2105 ,  22-23 ,    1639 ,     466,
   Aug19 ,   9313 , 2478 ,  26-27 ,    1971 ,     507,
   Sep19 ,   9380 , 2326 ,  24-25 ,    1864 ,     462,
   Oct19 ,   9458 , 2060 ,  21-22 ,    1548 ,     512,
   Nov19 ,   9491 , 2411 ,  25-25 ,    1835 ,     576,
   Dec19 ,   9358 , 2495 ,  26-27 ,    1968 ,     527,
   Jan20 ,   9384 , 2616 ,  27-28 ,    1907 ,     709,
   Feb20 ,   9502 , 2494 ,  25-26 ,    1848 ,     646,
   Mar20 ,   9488 , 2891 ,  30-30 ,    2205 ,     686,
   Apr20 ,   9397 , 2969 ,  31-32 ,    2307 ,     662,
   May20 ,   9301 , 2310 ,  24-25 ,    1727 ,     583,
   Jun20 ,   9445 , 2544 ,  26-27 ,    1924 ,     620,
   Jul20 ,   9591 , 2464 ,  25-26 ,    1949 ,     515,
   Aug20 ,   9709 , 2549 ,  25-26 ,    1929 ,     620,
   Sep20 ,   9671 , 2591 ,  26-27 ,    1914 ,     677,
   Oct20 ,   9702 , 2558 ,  25-26 ,    1982 ,     576,
   Nov20 ,   9778 , 2443 ,  24-25 ,    1891 ,     552,
   Dec20 ,   9691 , 2692 ,  27-28 ,    2066 ,     626,
   Jan21 ,   9764 , 2299 ,  23-24 ,    1731 ,     568,
   Feb21 ,   9880 , 2168 ,  21-22 ,    1642 ,     526,
   Mar21 ,   9795 , 3022 ,  30-31 ,    2258 ,     764,
   Apr21 ,   9629 , 2731 ,  27-28 ,    2145 ,     586,
   May21 ,   9703 , 2515 ,  25-26 ,    2069 ,     446,
   Jun21 ,   9806 , 2218 ,  22-23 ,    1846 ,     372,
   Jul21 ,   9864 , 2652 ,  26-27 ,    2046 ,     606,
   Aug21 ,   9902 , 2707 ,  26-27 ,    2026 ,     681,
   Sep21 ,   9990 , 2217 ,  21-22 ,    1657 ,     560,
   Oct21 ,   9967 , 3224 ,  31-32 ,    2456 ,     768,
   Nov21 ,   9965 , 3153 ,  31-32 ,    2470 ,     683,
   Dec21 ,   9985 , 3022 ,  29-30 ,    2432 ,     590,
   Jan22 ,  10124 , 2062 ,  20-20 ,    1680 ,     382,
   Feb22 ,  10122 , 2263 ,  22-22 ,    1843 ,     420,
   Mar22 ,  10026 , 2570 ,  25-26 ,    2127 ,     443,
   Apr22 ,  10109 , 2395 ,  23-24 ,    1935 ,     460,
   May22 ,  10262 , 2761 ,  26-27 ,    2293 ,     468,
   Jun22 ,  10387 , 2652 ,  25-26 ,    2249 ,     403,
   Jul22 ,  10359 , 2394 ,  22-23 ,    1956 ,     438,
   Aug22 ,  10233 , 2119 ,  20-21 ,    1634 ,     485,
   Sep22 ,  10306 , 2298 ,  22-22 ,    1729 ,     569,
   Oct22 ,  10414 , 3049 ,  28-29 ,    2535 ,     514,
   Nov22 ,  10459 , 1645 ,  15-16 ,    1150 ,     495,
   Dec22 ,  10725 , 1405 ,  13-13 ,    1039 ,     366,
   Jan23 ,  10824 , 1564 ,  14-15 ,    1130 ,     434,
   Feb23 ,  10733 , 1493 ,  13-14 ,    1127 ,     366,
   Mar23 ,  10516 , 1852 ,  17-18 ,    1380 ,     472,
   Apr23 ,  10279 , 1874 ,  18-18 ,    1411 ,     463,
   May23 ,  10053 , 2056 ,  20-21 ,    1555 ,     501,
   Jun23 ,  10130 , 1664 ,  16-17 ,     928 ,     736,
   Jul23 ,  10223 , 1608 ,  15-16 ,     927 ,     681,
   Aug23 ,  10256 , 1519 ,  14-15 ,     839 ,     680,
   Sep23 ,  10149 , 1293 ,  12-13 ,     757 ,     536,
   Oct23 ,  10078 ,  893 ,  15-15 ,     586 ,     307,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   97861,40393 ,  24-24 ,  108587 ,   31806,
 Percent ,        ,      ,        ,    ***% ,    ***%,
