"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,   3254 ,  742 ,  22-23 ,     615 ,     127,
   Nov18 ,   3245 ,  587 ,  17-18 ,     484 ,     103,
   Dec18 ,   3106 ,  698 ,  21-23 ,     608 ,      90,
   Jan19 ,   2962 ,  821 ,  26-28 ,     721 ,     100,
   Feb19 ,   3002 ,  673 ,  21-23 ,     573 ,     100,
   Mar19 ,   2979 ,  645 ,  21-22 ,     569 ,      76,
   Apr19 ,   3100 ,  830 ,  26-27 ,     713 ,     117,
   May19 ,   3162 ,  708 ,  21-23 ,     578 ,     130,
   Jun19 ,   3197 ,  614 ,  18-20 ,     533 ,      81,
   Jul19 ,   3244 ,  628 ,  18-20 ,     512 ,     116,
   Aug19 ,   3266 ,  699 ,  20-22 ,     585 ,     114,
   Sep19 ,   3357 ,  877 ,  25-26 ,     749 ,     128,
   Oct19 ,   3438 ,  560 ,  15-17 ,     438 ,     122,
   Nov19 ,   3532 ,  657 ,  18-19 ,     517 ,     140,
   Dec19 ,   3548 ,  953 ,  26-27 ,     761 ,     192,
   Jan20 ,   3578 ,  849 ,  23-24 ,     631 ,     218,
   Feb20 ,   3652 ,  949 ,  25-26 ,     706 ,     243,
   Mar20 ,   3623 ,  984 ,  26-27 ,     801 ,     183,
   Apr20 ,   3525 ,  963 ,  26-28 ,     750 ,     213,
   May20 ,   3418 ,  802 ,  22-24 ,     601 ,     201,
   Jun20 ,   3430 ,  886 ,  25-26 ,     706 ,     180,
   Jul20 ,   3507 ,  779 ,  21-23 ,     646 ,     133,
   Aug20 ,   3592 ,  884 ,  24-25 ,     728 ,     156,
   Sep20 ,   3508 ,  819 ,  22-24 ,     615 ,     204,
   Oct20 ,   3508 ,  816 ,  22-24 ,     644 ,     172,
   Nov20 ,   3604 ,  955 ,  25-27 ,     770 ,     185,
   Dec20 ,   3538 ,  811 ,  22-23 ,     636 ,     175,
   Jan21 ,   3651 ,  799 ,  21-22 ,     622 ,     177,
   Feb21 ,   3769 ,  762 ,  19-21 ,     561 ,     201,
   Mar21 ,   3696 , 1090 ,  28-30 ,     813 ,     277,
   Apr21 ,   3609 , 1015 ,  27-28 ,     798 ,     217,
   May21 ,   3563 ,  849 ,  23-24 ,     718 ,     131,
   Jun21 ,   3587 ,  628 ,  17-18 ,     521 ,     107,
   Jul21 ,   3608 ,  980 ,  26-27 ,     761 ,     219,
   Aug21 ,   3599 , 1000 ,  27-28 ,     733 ,     267,
   Sep21 ,   3608 ,  685 ,  18-19 ,     543 ,     142,
   Oct21 ,   3562 , 1122 ,  30-32 ,     841 ,     281,
   Nov21 ,   3509 , 1057 ,  29-30 ,     828 ,     229,
   Dec21 ,   3487 ,  872 ,  24-25 ,     665 ,     207,
   Jan22 ,   3485 ,  709 ,  19-21 ,     601 ,     108,
   Feb22 ,   3555 ,  755 ,  20-22 ,     633 ,     122,
   Mar22 ,   3521 ,  723 ,  20-21 ,     599 ,     124,
   Apr22 ,   3544 ,  787 ,  21-23 ,     631 ,     156,
   May22 ,   3645 ,  895 ,  23-25 ,     744 ,     151,
   Jun22 ,   3694 ,  780 ,  20-21 ,     664 ,     116,
   Jul22 ,   3655 ,  808 ,  21-22 ,     695 ,     113,
   Aug22 ,   3462 ,  749 ,  21-22 ,     648 ,     101,
   Sep22 ,   3433 ,  668 ,  18-20 ,     539 ,     129,
   Oct22 ,   3487 ,  988 ,  27-29 ,     857 ,     131,
   Nov22 ,   3506 ,  487 ,  13-14 ,     341 ,     146,
   Dec22 ,   3609 ,  378 ,  10-11 ,     271 ,     107,
   Jan23 ,   3580 ,  522 ,  14-15 ,     385 ,     137,
   Feb23 ,   3560 ,  439 ,  12-13 ,     328 ,     111,
   Mar23 ,   3484 ,  460 ,  12-14 ,     307 ,     153,
   Apr23 ,   3323 ,  572 ,  16-18 ,     406 ,     166,
   May23 ,   3197 ,  535 ,  16-17 ,     396 ,     139,
   Jun23 ,   3239 ,  374 ,  11-12 ,     226 ,     148,
   Jul23 ,   3282 ,  458 ,  13-14 ,     300 ,     158,
   Aug23 ,   3366 ,  399 ,  11-12 ,     193 ,     206,
   Sep23 ,   3192 ,  478 ,  14-15 ,     350 ,     128,
   Oct23 ,   3092 ,  266 ,  14-15 ,     192 ,      74,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   3445 ,45278 ,  22-22 ,   35900 ,    9378,
 Percent ,        ,      ,        ,    ***% ,    ***%,
