"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,   1400 ,  435 ,  29-32 ,     312 ,     123,
   Nov18 ,   1434 ,  296 ,  19-21 ,     209 ,      87,
   Dec18 ,   1434 ,  291 ,  19-21 ,     194 ,      97,
   Jan19 ,   1435 ,  451 ,  30-32 ,     341 ,     110,
   Feb19 ,   1481 ,  368 ,  23-26 ,     271 ,      97,
   Mar19 ,   1469 ,  561 ,  36-39 ,     432 ,     129,
   Apr19 ,   1478 ,  500 ,  32-34 ,     344 ,     156,
   May19 ,   1512 ,  477 ,  30-32 ,     349 ,     128,
   Jun19 ,   1535 ,  429 ,  26-29 ,     304 ,     125,
   Jul19 ,   1548 ,  437 ,  27-29 ,     301 ,     136,
   Aug19 ,   1563 ,  545 ,  33-35 ,     381 ,     164,
   Sep19 ,   1583 ,  445 ,  27-29 ,     317 ,     128,
   Oct19 ,   1650 ,  444 ,  25-28 ,     284 ,     160,
   Nov19 ,   1703 ,  553 ,  31-33 ,     368 ,     185,
   Dec19 ,   1718 ,  513 ,  28-30 ,     368 ,     145,
   Jan20 ,   1813 ,  536 ,  28-30 ,     336 ,     200,
   Feb20 ,   1865 ,  498 ,  25-27 ,     345 ,     153,
   Mar20 ,   1914 ,  621 ,  31-33 ,     427 ,     194,
   Apr20 ,   1963 ,  694 ,  34-36 ,     521 ,     173,
   May20 ,   1979 ,  555 ,  27-29 ,     392 ,     163,
   Jun20 ,   1999 ,  588 ,  28-30 ,     422 ,     166,
   Jul20 ,   1996 ,  639 ,  30-33 ,     470 ,     169,
   Aug20 ,   1962 ,  604 ,  29-31 ,     413 ,     191,
   Sep20 ,   1966 ,  711 ,  35-37 ,     495 ,     216,
   Oct20 ,   1955 ,  588 ,  29-31 ,     414 ,     174,
   Nov20 ,   1933 ,  498 ,  24-26 ,     356 ,     142,
   Dec20 ,   1923 ,  657 ,  33-35 ,     475 ,     182,
   Jan21 ,   1901 ,  487 ,  24-26 ,     341 ,     146,
   Feb21 ,   1873 ,  472 ,  24-26 ,     359 ,     113,
   Mar21 ,   1883 ,  646 ,  33-35 ,     466 ,     180,
   Apr21 ,   1880 ,  583 ,  29-32 ,     449 ,     134,
   May21 ,   1947 ,  554 ,  27-29 ,     427 ,     127,
   Jun21 ,   1961 ,  507 ,  24-26 ,     407 ,     100,
   Jul21 ,   1961 ,  579 ,  28-30 ,     416 ,     163,
   Aug21 ,   1944 ,  577 ,  28-30 ,     410 ,     167,
   Sep21 ,   1947 ,  558 ,  27-29 ,     372 ,     186,
   Oct21 ,   1928 ,  691 ,  34-36 ,     481 ,     210,
   Nov21 ,   1919 ,  685 ,  34-36 ,     496 ,     189,
   Dec21 ,   1865 ,  699 ,  36-38 ,     537 ,     162,
   Jan22 ,   1877 ,  388 ,  19-21 ,     281 ,     107,
   Feb22 ,   1828 ,  508 ,  26-28 ,     384 ,     124,
   Mar22 ,   1791 ,  593 ,  31-34 ,     462 ,     131,
   Apr22 ,   1812 ,  477 ,  25-27 ,     353 ,     124,
   May22 ,   1838 ,  571 ,  29-32 ,     433 ,     138,
   Jun22 ,   1854 ,  564 ,  29-31 ,     447 ,     117,
   Jul22 ,   1899 ,  475 ,  24-26 ,     318 ,     157,
   Aug22 ,   1966 ,  442 ,  21-23 ,     250 ,     192,
   Sep22 ,   1980 ,  563 ,  27-29 ,     347 ,     216,
   Oct22 ,   1980 ,  660 ,  32-34 ,     477 ,     183,
   Nov22 ,   2030 ,  420 ,  19-21 ,     253 ,     167,
   Dec22 ,   2112 ,  342 ,  15-17 ,     218 ,     124,
   Jan23 ,   2150 ,  331 ,  14-16 ,     184 ,     147,
   Feb23 ,   2146 ,  355 ,  15-17 ,     239 ,     116,
   Mar23 ,   2114 ,  459 ,  20-22 ,     301 ,     158,
   Apr23 ,   2130 ,  435 ,  19-21 ,     297 ,     138,
   May23 ,   2082 ,  505 ,  23-25 ,     352 ,     153,
   Jun23 ,   2076 ,  426 ,  19-21 ,     168 ,     258,
   Jul23 ,   2121 ,  405 ,  18-20 ,     171 ,     234,
   Aug23 ,   2120 ,  405 ,  18-20 ,     178 ,     227,
   Sep23 ,   2119 ,  324 ,  14-16 ,     119 ,     205,
   Oct23 ,   2143 ,  212 ,  16-18 ,     104 ,     108,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1857 ,30832 ,  27-28 ,   21338 ,    9494,
 Percent ,        ,      ,        ,    ***% ,    ***%,
