"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan19 ,   1112 ,  127 ,  10-12 ,       0 ,     127,
   Feb19 ,   1182 ,  179 ,  14-16 ,       0 ,     179,
   Mar19 ,   1204 ,  297 ,  23-26 ,       0 ,     297,
   Apr19 ,   1228 ,  238 ,  18-20 ,       0 ,     238,
   May19 ,   1289 ,  262 ,  19-21 ,       0 ,     262,
   Jun19 ,   1353 ,  280 ,  19-21 ,       0 ,     280,
   Jul19 ,   1426 ,  304 ,  20-22 ,       0 ,     304,
   Aug19 ,   1511 ,  277 ,  17-19 ,       0 ,     277,
   Sep19 ,   1614 ,  375 ,  22-24 ,       0 ,     375,
   Oct19 ,   1709 ,  297 ,  16-18 ,       0 ,     297,
   Nov19 ,   1784 ,  332 ,  17-19 ,       0 ,     332,
   Dec19 ,   1885 ,  353 ,  18-19 ,       0 ,     353,
   Jan20 ,   2009 ,  293 ,  14-15 ,       0 ,     293,
   Feb20 ,   2131 ,  281 ,  12-14 ,       0 ,     281,
   Mar20 ,   2251 ,  370 ,  15-17 ,       0 ,     370,
   Apr20 ,   2367 ,  316 ,  12-14 ,       0 ,     316,
   May20 ,   2491 ,  252 ,   9-11 ,       0 ,     252,
   Jun20 ,   2672 ,  453 ,  16-17 ,       0 ,     453,
   Jul20 ,   2836 ,  380 ,  13-14 ,       0 ,     380,
   Aug20 ,   2944 ,  335 ,  11-12 ,       0 ,     335,
   Sep20 ,   2995 ,  315 ,  10-11 ,       0 ,     315,
   Oct20 ,   3116 ,  701 ,  21-23 ,     344 ,     357,
   Nov20 ,   3152 ,  613 ,  18-20 ,     371 ,     242,
   Dec20 ,   3116 ,  881 ,  27-29 ,     513 ,     368,
   Jan21 ,   3165 ,  865 ,  26-28 ,     519 ,     346,
   Feb21 ,   3168 ,  707 ,  21-23 ,     462 ,     245,
   Mar21 ,   3130 ,  884 ,  27-29 ,     691 ,     193,
   Apr21 ,   3116 ,  915 ,  28-30 ,     693 ,     222,
   May21 ,   3060 ,  923 ,  29-30 ,     661 ,     262,
   Jun21 ,   3041 ,  628 ,  20-21 ,     474 ,     154,
   Jul21 ,   3095 ,  841 ,  26-28 ,     593 ,     248,
   Aug21 ,   3108 ,  811 ,  25-26 ,     566 ,     245,
   Sep21 ,   3130 ,  766 ,  23-25 ,     525 ,     241,
   Oct21 ,   3168 ,  782 ,  24-25 ,     543 ,     239,
   Nov21 ,   3160 ,  716 ,  22-23 ,     478 ,     238,
   Dec21 ,   3203 ,  700 ,  21-22 ,     475 ,     225,
   Jan22 ,   3250 ,  763 ,  22-24 ,     534 ,     229,
   Feb22 ,   3203 ,  612 ,  18-19 ,     436 ,     176,
   Mar22 ,   3105 ,  937 ,  29-31 ,     666 ,     271,
   Apr22 ,   3125 ,  770 ,  23-25 ,     537 ,     233,
   May22 ,   3113 ,  753 ,  23-25 ,     572 ,     181,
   Jun22 ,   3150 ,  838 ,  25-27 ,     602 ,     236,
   Jul22 ,   3169 ,  606 ,  18-20 ,     354 ,     252,
   Aug22 ,   3128 ,  462 ,  14-15 ,     191 ,     271,
   Sep22 ,   3154 ,  793 ,  24-26 ,     358 ,     435,
   Oct22 ,   3195 ,  540 ,  16-17 ,     236 ,     304,
   Nov22 ,   3157 ,  517 ,  15-17 ,     300 ,     217,
   Dec22 ,   3124 ,  547 ,  17-18 ,     341 ,     206,
   Jan23 ,   3189 ,  514 ,  15-17 ,     287 ,     227,
   Feb23 ,   3158 ,  488 ,  15-16 ,     278 ,     210,
   Mar23 ,   3093 ,  645 ,  20-21 ,     326 ,     319,
   Apr23 ,   3089 ,  495 ,  15-16 ,     263 ,     232,
   May23 ,   3115 ,  500 ,  15-16 ,     272 ,     228,
   Jun23 ,   3103 ,  637 ,  19-21 ,     381 ,     256,
   Jul23 ,   3070 ,  559 ,  17-19 ,     307 ,     252,
   Aug23 ,   3048 ,  792 ,  25-26 ,     489 ,     303,
   Sep23 ,   2992 ,  636 ,  20-22 ,     383 ,     253,
   Oct23 ,   2984 ,  892 ,  29-30 ,     558 ,     334,
   Nov23 ,   2953 ,  755 ,  24-26 ,     486 ,     269,
   Dec23 ,   3018 ,  635 ,  20-21 ,     408 ,     227,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2694 ,33735 ,  21-21 ,   17473 ,   16262,
 Percent ,        ,      ,        ,    ***% ,    ***%,
