"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan19 ,    166 ,   29 ,  14-20 ,       0 ,      29,
   Feb19 ,    173 ,   31 ,  15-21 ,       0 ,      31,
   Mar19 ,    172 ,   43 ,  21-28 ,       0 ,      43,
   Apr19 ,    174 ,   39 ,  19-25 ,       0 ,      39,
   May19 ,    190 ,   37 ,  16-22 ,       0 ,      37,
   Jun19 ,    206 ,   44 ,  18-24 ,       0 ,      44,
   Jul19 ,    219 ,   52 ,  21-26 ,       0 ,      52,
   Aug19 ,    240 ,   48 ,  17-22 ,       0 ,      48,
   Sep19 ,    253 ,   70 ,  25-30 ,       0 ,      70,
   Oct19 ,    273 ,   39 ,  12-16 ,       0 ,      39,
   Nov19 ,    301 ,   54 ,  16-20 ,       0 ,      54,
   Dec19 ,    328 ,   59 ,  16-20 ,       0 ,      59,
   Jan20 ,    344 ,   48 ,  12-16 ,       0 ,      48,
   Feb20 ,    363 ,   57 ,  14-17 ,       0 ,      57,
   Mar20 ,    379 ,   72 ,  17-21 ,       0 ,      72,
   Apr20 ,    400 ,   52 ,  11-15 ,       0 ,      52,
   May20 ,    415 ,   41 ,   8-11 ,       0 ,      41,
   Jun20 ,    442 ,   86 ,  17-21 ,       0 ,      86,
   Jul20 ,    457 ,   79 ,  15-19 ,       0 ,      79,
   Aug20 ,    472 ,   54 ,  10-13 ,       0 ,      54,
   Sep20 ,    482 ,   56 ,  10-13 ,       0 ,      56,
   Oct20 ,    492 ,  125 ,  23-27 ,      54 ,      71,
   Nov20 ,    491 ,  104 ,  19-23 ,      57 ,      47,
   Dec20 ,    490 ,  158 ,  30-34 ,      89 ,      69,
   Jan21 ,    506 ,  182 ,  33-37 ,      94 ,      88,
   Feb21 ,    519 ,  141 ,  25-29 ,      88 ,      53,
   Mar21 ,    512 ,  156 ,  28-32 ,     107 ,      49,
   Apr21 ,    512 ,  167 ,  30-34 ,     109 ,      58,
   May21 ,    513 ,  190 ,  34-39 ,     119 ,      71,
   Jun21 ,    538 ,  127 ,  21-25 ,      94 ,      33,
   Jul21 ,    574 ,  166 ,  27-30 ,     107 ,      59,
   Aug21 ,    582 ,  204 ,  33-36 ,     135 ,      69,
   Sep21 ,    570 ,  168 ,  27-31 ,     107 ,      61,
   Oct21 ,    570 ,  173 ,  28-32 ,     113 ,      60,
   Nov21 ,    574 ,  163 ,  26-30 ,     113 ,      50,
   Dec21 ,    570 ,  107 ,  17-20 ,      70 ,      37,
   Jan22 ,    567 ,  157 ,  25-29 ,     104 ,      53,
   Feb22 ,    569 ,  129 ,  21-24 ,      82 ,      47,
   Mar22 ,    559 ,  140 ,  23-26 ,      88 ,      52,
   Apr22 ,    568 ,  192 ,  31-35 ,     132 ,      60,
   May22 ,    572 ,  147 ,  24-27 ,     109 ,      38,
   Jun22 ,    584 ,  216 ,  34-38 ,     148 ,      68,
   Jul22 ,    603 ,  125 ,  19-22 ,      64 ,      61,
   Aug22 ,    610 ,   98 ,  14-17 ,      38 ,      60,
   Sep22 ,    600 ,  140 ,  21-25 ,      53 ,      87,
   Oct22 ,    613 ,  108 ,  16-19 ,      36 ,      72,
   Nov22 ,    612 ,  120 ,  18-21 ,      65 ,      55,
   Dec22 ,    601 ,  133 ,  20-23 ,      80 ,      53,
   Jan23 ,    611 ,  115 ,  17-20 ,      69 ,      46,
   Feb23 ,    605 ,  111 ,  17-20 ,      56 ,      55,
   Mar23 ,    584 ,  152 ,  24-27 ,      77 ,      75,
   Apr23 ,    546 ,  109 ,  18-21 ,      55 ,      54,
   May23 ,    512 ,  118 ,  21-25 ,      56 ,      62,
   Jun23 ,    481 ,  146 ,  28-32 ,      78 ,      68,
   Jul23 ,    467 ,  120 ,  23-27 ,      62 ,      58,
   Aug23 ,    449 ,  135 ,  27-32 ,      82 ,      53,
   Sep23 ,    432 ,  107 ,  22-26 ,      64 ,      43,
   Oct23 ,    424 ,  141 ,  30-35 ,      80 ,      61,
   Nov23 ,    409 ,  129 ,  29-33 ,      78 ,      51,
   Dec23 ,    419 ,   84 ,  18-22 ,      41 ,      43,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    458 , 6593 ,  24-24 ,    3253 ,    3340,
 Percent ,        ,      ,        ,    ***% ,    ***%,
