"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan19 ,    114 ,   11 ,   7-13 ,       0 ,      11,
   Feb19 ,    126 ,   20 ,  13-19 ,       0 ,      20,
   Mar19 ,    135 ,   26 ,  16-23 ,       0 ,      26,
   Apr19 ,    143 ,   28 ,  16-23 ,       0 ,      28,
   May19 ,    155 ,   44 ,  24-32 ,       0 ,      44,
   Jun19 ,    162 ,   32 ,  16-23 ,       0 ,      32,
   Jul19 ,    178 ,   43 ,  21-27 ,       0 ,      43,
   Aug19 ,    204 ,   40 ,  17-22 ,       0 ,      40,
   Sep19 ,    236 ,   50 ,  18-24 ,       0 ,      50,
   Oct19 ,    259 ,   45 ,  15-20 ,       0 ,      45,
   Nov19 ,    267 ,   60 ,  20-25 ,       0 ,      60,
   Dec19 ,    271 ,   60 ,  19-24 ,       0 ,      60,
   Jan20 ,    281 ,   46 ,  14-18 ,       0 ,      46,
   Feb20 ,    294 ,   35 ,  10-14 ,       0 ,      35,
   Mar20 ,    310 ,   49 ,  14-18 ,       0 ,      49,
   Apr20 ,    312 ,   38 ,  10-14 ,       0 ,      38,
   May20 ,    315 ,   37 ,  10-13 ,       0 ,      37,
   Jun20 ,    342 ,   62 ,  16-20 ,       0 ,      62,
   Jul20 ,    372 ,   47 ,  11-14 ,       0 ,      47,
   Aug20 ,    410 ,   59 ,  12-16 ,       0 ,      59,
   Sep20 ,    432 ,   52 ,  10-13 ,       0 ,      52,
   Oct20 ,    471 ,  138 ,  27-31 ,      55 ,      83,
   Nov20 ,    491 ,  155 ,  29-33 ,      83 ,      72,
   Dec20 ,    490 ,  200 ,  38-42 ,     111 ,      89,
   Jan21 ,    496 ,  192 ,  36-40 ,     108 ,      84,
   Feb21 ,    512 ,  203 ,  37-41 ,     122 ,      81,
   Mar21 ,    533 ,  147 ,  25-29 ,      92 ,      55,
   Apr21 ,    526 ,  179 ,  31-36 ,     110 ,      69,
   May21 ,    498 ,  215 ,  40-45 ,     130 ,      85,
   Jun21 ,    493 ,  160 ,  30-34 ,     100 ,      60,
   Jul21 ,    515 ,  180 ,  32-36 ,     103 ,      77,
   Aug21 ,    529 ,  208 ,  37-41 ,     128 ,      80,
   Sep21 ,    533 ,  193 ,  34-38 ,     118 ,      75,
   Oct21 ,    537 ,  172 ,  30-34 ,     103 ,      69,
   Nov21 ,    549 ,  227 ,  39-43 ,     139 ,      88,
   Dec21 ,    559 ,  151 ,  25-28 ,      74 ,      77,
   Jan22 ,    567 ,  173 ,  28-32 ,     108 ,      65,
   Feb22 ,    570 ,  116 ,  18-22 ,      69 ,      47,
   Mar22 ,    578 ,  155 ,  25-28 ,      92 ,      63,
   Apr22 ,    575 ,  180 ,  29-33 ,     110 ,      70,
   May22 ,    580 ,  180 ,  29-32 ,     116 ,      64,
   Jun22 ,    593 ,  240 ,  38-42 ,     162 ,      78,
   Jul22 ,    581 ,  224 ,  36-40 ,     112 ,     112,
   Aug22 ,    581 ,  124 ,  19-23 ,      29 ,      95,
   Sep22 ,    570 ,  228 ,  37-41 ,      70 ,     158,
   Oct22 ,    559 ,  144 ,  24-27 ,      47 ,      97,
   Nov22 ,    542 ,  121 ,  20-24 ,      54 ,      67,
   Dec22 ,    527 ,  132 ,  23-27 ,      68 ,      64,
   Jan23 ,    529 ,  145 ,  25-29 ,      68 ,      77,
   Feb23 ,    514 ,   96 ,  17-20 ,      38 ,      58,
   Mar23 ,    488 ,  148 ,  28-32 ,      62 ,      86,
   Apr23 ,    455 ,   96 ,  19-23 ,      49 ,      47,
   May23 ,    444 ,  100 ,  20-24 ,      51 ,      49,
   Jun23 ,    448 ,  173 ,  36-40 ,      97 ,      76,
   Jul23 ,    455 ,  151 ,  30-35 ,      77 ,      74,
   Aug23 ,    455 ,  158 ,  32-36 ,      88 ,      70,
   Sep23 ,    432 ,  113 ,  24-28 ,      62 ,      51,
   Oct23 ,    419 ,  146 ,  32-37 ,      70 ,      76,
   Nov23 ,    409 ,  150 ,  34-38 ,      86 ,      64,
   Dec23 ,    430 ,  138 ,  29-34 ,      80 ,      58,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    423 , 7235 ,  28-29 ,    3441 ,    3794,
 Percent ,        ,      ,        ,    ***% ,    ***%,
